Scheme Name	Net Asset Value
SBI Liquid Fund - Institutional Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	1195.2204
SBI Liquid Fund - Institutional Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	N.A.
SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1140.7391
SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	1182.0431
SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1236.2780
SBI Liquid Fund - REGULAR PLAN -Growth	3601.8022
	
	
	
Sundaram  Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct Quarterly IDCW	1079.3414
Sundaram Liquid Fund (Formerly Known as  Principal Cash Management Fund) Regular Plan Principal Units	1124.5214
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund )- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Daily	1000.6367
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Daily Income Distribution CUM Capital Withdrawal	1000.8893
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option	2049.1422
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Monthly Income Distribution CUM Capital Withdrawal Option	1028.6385
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) -Direct Plan - Income Distribution CUM Capital Withdrawal Option - Monthly	1028.7747
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) -Growth Option	2031.5450
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct Fortnightly IDCW	1024.5612
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct Principal Units	1126.8497
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Regular Fortnightly IDCW	1024.4982
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Regular Quarterly IDCW	1077.0789
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Unclaimed Redemption More 3 Years	1000.0000
Sundaram Liquid Fund (Formerly Principal Cash Management Fund) - Weekly Income Distribution CUM Capital Withdrawal Option	1006.9413
Sundaram Liquid Fund(Formerly Known as Principal Cash Management Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Weekly	1007.4069
	
	
	
Tata Liquid Fund -Regular Plan - Growth Option	3625.0111
Tata Liquid Fund- Direct Plan - Daily Reinvestment of IDCW Option	1001.5187
Tata Liquid Fund- Direct Plan-Growth Option	3660.9761
Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option	1001.5157
	
	
	
Taurus Liquid Fund-Dividend	1013.9743
Taurus Liquid Fund-Growth	2368.5909
	
	
	
TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal	1097.8412
TRUSTMF Liquid Fund-Direct Plan-Growth	1124.9885
TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal	1067.2231
TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal	1080.4676
TRUSTMF Liquid Fund-Regular Plan-Daily Income Distribution cum Capital Withdrawal	1074.8607
TRUSTMF Liquid Fund-Regular Plan-Growth	1120.9645
TRUSTMF Liquid Fund-Regular Plan-Monthly Income Distribution cum Capital Withdrawal	1064.2055
TRUSTMF Liquid Fund-Regular Plan-Weekly Income Distribution cum Capital Withdrawal	1056.1165
	
	
	
Union Liquid Fund - Daily IDCW Option	1000.7927
Union Liquid Fund - Direct Plan - Daily IDCW Option	1000.7927
Union Liquid Fund - Direct Plan - Fortnightly IDCW Option	1003.4896
Union Liquid Fund - Direct Plan - Growth Option	2237.1723
Union Liquid Fund - Direct Plan - Monthly IDCW Option	1003.4894
Union Liquid Fund - Direct Plan - Weekly IDCW Option	1001.7711
Union Liquid Fund - Fortnightly IDCW Option	1003.4598
Union Liquid Fund - Growth Option	2213.9949
Union Liquid Fund - Monthly IDCW Option	1003.4466
Union Liquid Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years	1000.0000
Union Liquid Fund - Unclaimed Amounts Plan - IDCW Upto 3 years	1167.6169
Union Liquid Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years	1000.0000
Union Liquid Fund - Unclaimed Amounts Plan - Redemption Upto 3 years	1167.3290
Union Liquid Fund - Weekly IDCW Option	1001.8600
	
	
	
UTI Liquid Cash Plan - Direct Plan - Annual IDCW	1672.7625
UTI Liquid Cash Plan - Direct Plan - Daily IDCW (Reinvestment)	1062.4226
UTI Liquid Cash Plan - Direct Plan - Flexi IDCW	1377.7625
UTI Liquid Cash Plan - Direct Plan - Fortnightly IDCW	1158.2848
UTI Liquid Cash Plan - Direct Plan - Half-Yearly IDCW	1306.6464
UTI Liquid Cash Plan - Direct Plan - Monthly IDCW	1045.8008
UTI Liquid Cash Plan - Direct Plan - Quarterly IDCW	1579.8099
UTI Liquid Cash Plan - Direct Plan - Weekly IDCW	1181.1294
UTI Liquid Cash Plan - Regular Plan - Annual IDCW	1664.7106
UTI Liquid Cash Plan - Regular Plan - Daily IDCW (Reinvestment)	1069.2897
UTI Liquid Cash Plan - Regular Plan - Flexi IDCW	1372.0179
UTI Liquid Cash Plan - Regular Plan - Fortnightly IDCW	1157.4201
UTI Liquid Cash Plan - Regular Plan - Half-Yearly IDCW	1159.0695
UTI Liquid Cash Plan - Regular Plan - Monthly IDCW	1047.8148
UTI Liquid Cash Plan - Regular Plan - Quarterly IDCW	1571.8579
UTI Liquid Cash Plan - Regular Plan - Weekly IDCW	1053.6883
UTI-  Liquid Cash Plan - Direct Plan - Growth Option	3803.5724
UTI-  Liquid Cash Plan - Regular Plan - Growth Option	3775.361
UTI-  Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Option	1072.8564
UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth	3445.6456
UTI-  Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Option	1133.346
	
	
	
WhiteOak Capital Liquid Fund- Direct plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1000.9850
WhiteOak Capital Liquid Fund- Direct plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1002.9544
WhiteOak Capital Liquid Fund- Direct plan-Growth Option	1245.2559
WhiteOak Capital Liquid Fund- Direct plan-Monthly  Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1005.0661
WhiteOak Capital Liquid Fund- Direct plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1002.2102
WhiteOak Capital Liquid Fund- Regular plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1000.9584
WhiteOak Capital Liquid Fund- Regular plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1004.9107
WhiteOak Capital Liquid Fund- Regular plan-Growth Option	1240.0098
WhiteOak Capital Liquid Fund- Regular plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1005.5245
WhiteOak Capital Liquid Fund- Regular plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1002.2026
	
	
	
	
	
Aditya Birla Sun Life Long Duration Fund-Direct Growth	11.0397
Aditya Birla Sun Life Long Duration Fund-Direct IDCW Payout	11.0398
Aditya Birla Sun Life Long Duration Fund-Regular Growth	10.9664
Aditya Birla Sun Life Long Duration Fund-Regular IDCW Payout	10.961
	
	
	
Axis Long Duration Fund - Direct Plan - Annual IDCW	1059.1137
Axis Long Duration Fund - Direct Plan - Growth	1061.7654
Axis Long Duration Fund - Direct Plan - Monthly IDCW	1011.0008
Axis Long Duration Fund - Direct Plan - Quarterly IDCW	1056.6537
Axis Long Duration Fund - Direct Plan -Daily IDCW	1011.6580
Axis Long Duration Fund - Regular Plan - Annual IDCW	1055.1131
Axis Long Duration Fund - Regular Plan - Daily IDCW	1007.7393
Axis Long Duration Fund - Regular Plan - Growth	1057.6922
Axis Long Duration Fund - Regular Plan - Monthly IDCW	1006.7384
Axis Long Duration Fund - Regular Plan - Quarterly IDCW	1052.5730
	
	
	
HDFC Long Duration Debt Fund - Growth Option	10.498
HDFC Long Duration Debt Fund - Growth Option - Direct Plan	10.5227
HDFC Long Duration Debt Fund - IDCW Option	10.2559
HDFC Long Duration Debt Fund - IDCW Option - Direct Plan	10.3091
	
	
	
ICICI Prudential Long Term Bond Fund - Annual IDCW	10.4720
ICICI Prudential Long Term Bond Fund - Bonus	68.2598
ICICI Prudential Long Term Bond Fund - Direct Plan - Growth	83.4442
ICICI Prudential Long Term Bond Fund - Direct Plan - Half Yearly IDCW	11.9879
ICICI Prudential Long Term Bond Fund - Direct Plan - Quarterly IDCW	12.6030
ICICI Prudential Long Term Bond Fund - Growth	77.0040
ICICI Prudential Long Term Bond Fund - Half Yearly IDCW	11.1771
ICICI Prudential Long Term Bond Fund - Quarterly IDCW	12.2560
ICICI Prudential Long Term Bond Fund Direct Plan - Annual IDCW	11.5873
ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend	11.7562
ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly	10.8508
ICICI Prudential Long Term Bond Fund-Institutional Option-Growth	73.5439
	
	
	
NIPPON INDIA NIVESH LAKSHYA FUND - ANNUAL IDCW Option	12.1461
NIPPON INDIA NIVESH LAKSHYA FUND - DIRECT Plan - ANNUAL IDCW Option	12.1681
NIPPON INDIA NIVESH LAKSHYA FUND - DIRECT Plan - HALF YEARLY IDCW Option	12.4357
NIPPON INDIA NIVESH LAKSHYA FUND - DIRECT Plan - IDCW Option	15.5348
NIPPON INDIA NIVESH LAKSHYA FUND - DIRECT Plan - MONTHLY IDCW Option	11.6966
NIPPON INDIA NIVESH LAKSHYA FUND - DIRECT Plan - QUARTERLY IDCW Option	11.3285
NIPPON INDIA NIVESH LAKSHYA FUND - HALF YEARLY IDCW Option	12.3922
NIPPON INDIA NIVESH LAKSHYA FUND - IDCW Option	15.2797
NIPPON INDIA NIVESH LAKSHYA FUND - MONTHLY IDCW Option	11.6757
NIPPON INDIA NIVESH LAKSHYA FUND - QUARTERLY IDCW Option	11.2779
Nippon India Nivesh Lakshya Fund- Direct Plan- Growth Option	15.5347
Nippon India Nivesh Lakshya Fund- Growth Option	15.2803
	
	
	
SBI Long Duration Fund - Direct Plan - Growth	10.6376
SBI Long Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	10.6379
SBI Long Duration Fund - Regular Plan - Growth	10.6036
SBI Long Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	10.6036
	
	
	
UTI Long Duration Fund - Direct Plan - Annual IDCW Option	10.4408
UTI Long Duration Fund - Direct Plan - Growth Option	10.4408
UTI Long Duration Fund - Direct Plan - Half Yearly IDCW Option	10.4409
UTI Long duration Fund - Direct Plan - Quarterly IDCW Option	10.4408
UTI Long Duration Fund - Regular Plan - Annual IDCW Option	10.3885
UTI Long Duration Fund - Regular Plan - Flexi IDCW Option	10.3885
UTI Long Duration Fund - Regular Plan - Growth Option	10.3885
UTI Long Duration Fund - Regular Plan - Half Yearly IDCW Option	10.3886
UTI Long Duration Fund - Regular Plan - Quarterly IDCW Option	10.3885
	
	
	
	
	
Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan	632.419
Aditya Birla Sun Life Low Duration Fund - Growth Plan	579.1967
Aditya Birla Sun Life Low Duration Fund - Institutional Plan - Growth	406.1115
Aditya Birla Sun Life Low Duration Fund -Direct - daily IDCW	100.2798
Aditya Birla Sun Life Low Duration Fund -Direct - weekly IDCW	100.6731
Aditya Birla Sun Life Low Duration Fund -INSTITUTIONAL - DAILY IDCW	100.2807
Aditya Birla Sun Life Low Duration Fund -Institutional - weekly  IDCW	99.9054
Aditya Birla Sun Life Low Duration Fund -Regular - DAILY IDCW	100.2756
Aditya Birla Sun Life Low Duration Fund -REGULAR - WEEKLY IDCW	100.4844
	
	
	
Axis Treasury Advantage Fund - Direct Plan - Bonus Option	1847.5931
Axis Treasury Advantage Fund - Direct Plan - Daily IDCW	1012.4737
Axis Treasury Advantage Fund - Direct Plan - Growth Option	2821.2641
Axis Treasury Advantage Fund - Direct Plan - Monthly IDCW	1012.4067
Axis Treasury Advantage Fund - Direct Plan - Weekly IDCW	1012.3222
Axis Treasury Advantage Fund - Regular Plan - Daily IDCW	1013.2484
Axis Treasury Advantage Fund - Regular Plan - Growth Option	2706.8880
Axis Treasury Advantage Fund - Regular Plan - Monthly IDCW	1012.2907
Axis Treasury Advantage Fund - Regular Plan - Weekly IDCW	1012.2900
Axis Treasury Advantage Fund - Retail Plan - Daily IDCW	1012.4736
Axis Treasury Advantage Fund - Retail Plan - Growth Option	2537.8392
Axis Treasury Advantage Fund - Retail Plan - Monthly IDCW	1012.2988
Axis Treasury Advantage Fund - Retail Plan - Weekly IDCW	1012.2918
	
	
	
BANDHAN Low Duration Fund - Regular Plan - Daily IDCW	10.1015
BANDHAN Low Duration Fund - Regular Plan - Growth	33.8851
BANDHAN Low Duration Fund - Regular Plan - Monthly IDCW	10.1170
BANDHAN Low Duration Fund - Regular Plan - Periodic IDCW	11.2519
BANDHAN Low Duration Fund - Regular Plan - Quarterly IDCW	11.0048
BANDHAN Low Duration Fund - Regular Plan - Weekly IDCW	10.1188
BANDHAN Low Duration Fund-Direct Plan-Daily IDCW	10.1111
BANDHAN Low Duration Fund-Direct Plan-Growth	34.5531
BANDHAN Low Duration Fund-Direct Plan-Monthly IDCW	10.1309
BANDHAN Low Duration Fund-Direct Plan-Periodic IDCW	11.3193
BANDHAN Low Duration Fund-Direct Plan-Quarterly IDCW	10.9390
BANDHAN Low Duration Fund-Direct Plan-Weekly IDCW	10.1075
	
	
	
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Daily IDCW Option	10.0835
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Growth Option	38.2289
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Monthly IDCW Option	10.2267
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Weekly IDCW Option	10.0159
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - DAILY IDCW OPTION	10.0604
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - GROWTH OPTION	35.3952
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - MONTHLY IDCW OPTION	10.3160
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - WEEKLY IDCW OPTION	10.0153
BARODA BNP PARIBAS LOW DURATION Fund-Defunct Plan- Daily IDCW Option	10.0499
BARODA BNP PARIBAS LOW DURATION Fund-Defunct Plan-Growth Option	35.4346
BARODA BNP PARIBAS LOW DURATION Fund-Defunct Plan-Monthly IDCW Option	10.5014
BARODA BNP PARIBAS LOW DURATION Fund-Defunct Plan-Weekly IDCW Option	10.0153
	
	
	
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - DAILY IDCW (Reinvestment)	10.2600
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION	37.8456
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	33.8409
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment)	10.2757
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment)	10.2630
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - DAILY IDCW (Reinvestment)	10.2600
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - GROWTH OPTION	37.0232
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	33.1639
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)	10.2751
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment)	10.2629
	
	
	
DSP Low Duration Fund - Direct Plan - Growth	17.8862
DSP Low Duration Fund - Direct Plan - IDCW - Daily	10.1268
DSP Low Duration Fund - Direct Plan - IDCW - Monthly	11.6573
DSP Low Duration Fund - Direct Plan - IDCW - Quarterly	10.7915
DSP Low Duration Fund - Direct Plan - IDCW - Weekly	10.1287
DSP Low Duration Fund - Regular Plan - Growth	17.4193
DSP Low Duration Fund - Regular Plan - IDCW - Daily	10.1814
DSP Low Duration Fund - Regular Plan - IDCW - Monthly	10.5283
DSP Low Duration Fund - Regular Plan - IDCW - Quarterly	10.7590
DSP Low Duration Fund - Regular Plan - IDCW - Weekly	10.1286
	
	
	
Franklin India Low Duration Fund - Direct - Growth	28.6858
Franklin India Low Duration Fund - Direct - Monthly - IDCW	13.3317
Franklin India Low Duration Fund - Direct - Quarterly - IDCW	13.1009
Franklin India Low Duration Fund - Growth Plan	32.6071
Franklin India Low Duration Fund - Monthly - IDCW	15.0351
Franklin India Low Duration Fund - Quarterly - IDCW	14.7667
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct- Quarterly Dividend Plan	0.0000
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan	0.0000
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Monthly Dividend Plan	0.0000
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan	0.0000
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Monthly Dividend Plan	0.0000
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Quarterly Dividend Plan	0.0000
Franklin India Low Duration Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Monthly - IDCW	0.6269
Franklin India Low Duration Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Quarterly - IDCW	0.6157
Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct- Growth Plan	1.3907
Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan	1.3598
Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Monthly - IDCW	0.6463
Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Quarterly - IDCW	0.6352
	
	
	
HDFC Low Duration  Fund - Daily IDCW	10.1428
HDFC Low Duration  Fund - Direct Plan - Daily IDCW	10.0655
HDFC Low Duration  Fund - Direct Plan - Growth	54.4253
HDFC Low Duration  Fund - Direct Plan - Monthly IDCW	10.164
HDFC Low Duration  Fund - Direct Plan - Weekly IDCW	10.0678
HDFC Low Duration  Fund - Growth	50.7266
HDFC Low Duration  Fund - Monthly IDCW	10.1598
HDFC Low Duration  Fund - Weekly IDCW	10.0672
HDFC Low Duration Fund- Wholesale Daily Dividend	10.1574
HDFC Low Duration Fund- Wholesale Monthly Dividend	10.1856
HDFC Low Duration Fund- Wholesale Weekly Dividend	10.1734
HDFC Low Duration Fund- Wholesale- Growth	41.8371
	
	
	
HSBC Low Duration Fund - Direct Annual IDCW	10.8916
HSBC Low Duration Fund - Direct Growth	25.9974
HSBC Low Duration Fund - Direct Monthly IDCW	11.0791
HSBC Low Duration Fund - Regular Annual IDCW	10.5253
HSBC Low Duration Fund - Regular Growth	24.8403
HSBC Low Duration Fund - Regular Monthly IDCW	10.3657
	
	
	
ICICI Prudential Savings Fund - Bonus	154.9446
ICICI Prudential Savings Fund - Daily IDCW	105.7358
ICICI Prudential Savings Fund - Direct Plan - Daily IDCW	105.7358
ICICI Prudential Savings Fund - Direct Plan - Fortnightly IDCW	101.8228
ICICI Prudential Savings Fund - Direct Plan - Growth	479.3980
ICICI Prudential Savings Fund - Direct Plan - IDCW Others	168.8691
ICICI Prudential Savings Fund - Direct Plan - Monthly IDCW	101.7864
ICICI Prudential Savings Fund - Direct Plan - Quarterly IDCW	108.7369
ICICI Prudential Savings Fund - Direct Plan - Weekly IDCW	105.5701
ICICI Prudential Savings Fund - Direct Plan Bonus	123.8923
ICICI Prudential Savings Fund - Fortnightly IDCW	101.8205
ICICI Prudential Savings Fund - Growth	473.9200
ICICI Prudential Savings Fund - IDCW Others	166.8788
ICICI Prudential Savings Fund - Monthly IDCW	101.7844
ICICI Prudential Savings Fund - Quarterly IDCW	108.5074
ICICI Prudential Savings Fund - Weekly IDCW	105.5225
ICICI Prudential Savings Fund Retail Daily Dividend	100.1193
ICICI Prudential Savings Fund Retail Growth	220.0081
ICICI Prudential Savings Fund Retail Weekly Dividend	100.956
	
	
	
Invesco India Treasury Advantage Fund - Daily IDCW (Reinvestment)	1017.9524
Invesco India Treasury Advantage Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3444.6995
Invesco India Treasury Advantage Fund - Direct Plan - Growth	3443.1495
Invesco India Treasury Advantage Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1078.0117
Invesco India Treasury Advantage Fund - Direct Plan - Weekly IDCW (Payout / Reinvestment)	1206.7323
Invesco India Treasury Advantage Fund - Direct Plan -Daily IDCW (Reinvestment)	1018.9655
Invesco India Treasury Advantage Fund - Discretionary IDCW (Payout / Reinvestment)	3396.7129
Invesco India Treasury Advantage Fund - Growth	3318.8949
Invesco India Treasury Advantage Fund - Monthly IDCW (Payout / Reinvestment)	1209.5481
Invesco India Treasury Advantage Fund - Regular - Growth	2989.745
Invesco India Treasury Advantage Fund - Regular - Monthly IDCW (Reinvestment)	1205.4022
Invesco India Treasury Advantage Fund - Regular - Weekly IDCW (Reinvestment)	1334.351
Invesco India Treasury Advantage Fund - Regular Daily IDCW (Reinvestment)	1498.7881
Invesco India Treasury Advantage Fund - Weekly IDCW (Payout / Reinvestment)	1156.2567
	
	
	
JM Low Duration Fund (Direct) - Bonus Option - Principal Units	20.0012
JM Low Duration Fund (Direct) - Daily IDCW	10.8500
JM Low Duration Fund (Direct) - Fortnightly IDCW	11.1416
JM Low Duration Fund (Direct) - Growth	33.2185
JM Low Duration Fund (Direct) - Weekly IDCW	11.4553
JM Low Duration Fund (Regular) - Daily IDCW	10.8200
JM Low Duration Fund (Regular) - Fortnightly IDCW 	11.1001
JM Low Duration Fund (Regular) - Growth Option	32.5789
JM Low Duration Fund (Regular) - Weekly IDCW	11.4148
JM Low Duration Fund - Bonus Option - Principal Units	19.6277
	
	
	
Kotak Low Duration Fund - Direct Plan- Standard Income Distribution cum capital withdrawal option	1345.0869
Kotak Low Duration Fund- Direct Plan- Growth Option	3165.2752
Kotak Low Duration Fund- Regular Plan-Growth Option	2943.4763
Kotak Low Duration Fund- Regular Plan-Standard Income Distribution cum capital withdrawal option	1121.96
	
	
	
LIC MF Low Duration Fund-Direct Plan-Daily IDCW	10.05
LIC MF Low Duration Fund-Direct Plan-Growth	37.3825
LIC MF Low Duration Fund-Direct Plan-Monthly IDCW	19.5268
LIC MF Low Duration Fund-Direct Plan-Weekly IDCW	13.0242
LIC MF Low Duration Fund-Regular Plan-Daily IDCW	10.6756
LIC MF Low Duration Fund-Regular Plan-Growth	34.9135
LIC MF Low Duration Fund-Regular Plan-Monthly IDCW	12.0389
LIC MF Low Duration Fund-Regular Plan-Weekly IDCW	11.9874
	
	
	
Mahindra Manulife Low Duration Fund - Direct Plan - Daily IDCW	1105.6785
Mahindra Manulife Low Duration Fund - Direct Plan - Monthly IDCW	1134.2652
Mahindra Manulife Low Duration Fund - Direct Plan - Weekly IDCW	1030.9893
Mahindra Manulife Low Duration Fund - Direct Plan -Growth	1524.3106
Mahindra Manulife Low Duration Fund - Regular Plan - Daily IDCW	1000.0498
Mahindra Manulife Low Duration Fund - Regular Plan - Growth	1441.4745
Mahindra Manulife Low Duration Fund - Regular Plan - Monthly IDCW	1114.5689
Mahindra Manulife Low Duration Fund - Regular Plan - Weekly IDCW	1053.2839
	
	
	
Mirae Asset Savings Fund - Direct Plan - Growth	2137.5201
Mirae Asset Savings Fund Direct Daily IDCW	1208.9337
Mirae Asset Savings Fund Direct Monthly IDCW	1162.8909
Mirae Asset Savings Fund Direct Quarterly IDCW	1025.6571
Mirae Asset Savings Fund Direct Weekly IDCW	1454.9782
Mirae Asset Savings Fund Regular Savings Daily IDCW	1005.1646
Mirae Asset Savings Fund Regular Savings Monthly IDCW	1089.9517
Mirae Asset Savings Fund Regular Savings Quarterly IDCW	1013.2119
Mirae Asset Savings Fund Regular Savings Weekly IDCW	1107.0856
Mirae Asset Savings Fund-Regular Savings Plan- Growth	1985.8314
	
	
	
NIPPON INDIA LOW DURATION FUND - DAILY IDCW Option	1008.9718
NIPPON INDIA LOW DURATION FUND - DIRECT Plan - DAILY IDCW Option	1009.0624
NIPPON INDIA LOW DURATION FUND - DIRECT Plan - IDCW Option	1825.9732
NIPPON INDIA LOW DURATION FUND - DIRECT Plan - MONTHLY IDCW Option	1034.0972
NIPPON INDIA LOW DURATION FUND - DIRECT Plan - QUARTERLY IDCW Option	1027.6531
NIPPON INDIA LOW DURATION FUND - DIRECT Plan - WEEKLY IDCW Option	1009.4907
Nippon India Low Duration Fund - Direct Plan Growth Plan - Bonus Option	2005.5196
Nippon India Low Duration Fund - Direct Plan Growth Plan - Growth Option	3452.4562
NIPPON INDIA LOW DURATION FUND - IDCW Option	1748.4209
NIPPON INDIA LOW DURATION FUND - MONTHLY IDCW Option	1026.7128
NIPPON INDIA LOW DURATION FUND - QUARTERLY IDCW Option	1026.1023
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - DAILY IDCW Option	1008.9724
Nippon India Low Duration Fund - Retail Plan - Growth Plan - Growth Option	3132.8421
Nippon India Low Duration Fund - Retail Plan - Growth Plan -Bonus Option	2334.4792
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - MONTHLY IDCW Option	1028.6326
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - QUARTERLY IDCW Option	1025.7849
NIPPON INDIA LOW DURATION FUND - RETAIL Plan - WEEKLY IDCW Option	1009.4835
NIPPON INDIA LOW DURATION FUND - WEEKLY IDCW Option	1009.3193
Nippon India Low Duration Fund -Growth Plan -Bonus Option	1909.7626
Nippon India Low Duration Fund- Growth Plan - Growth Option	3289.2631
	
	
	
PGIM India Low Duration Fund  -  Annual  Bonus	13.5767
PGIM India Low Duration Fund - ANNUAL DIV	9.3875
PGIM India Low Duration Fund - DAILY DIV	10.0299
PGIM India Low Duration Fund - Direct Dividend	9.8385
PGIM India Low Duration Fund - Direct Plan -  Annual  Bonus	14.178
PGIM India Low Duration Fund - Direct Plan - Annual Dividend	10.4116
PGIM India Low Duration Fund - Direct Plan - Daily Dividend	10.0302
PGIM India Low Duration Fund - Direct Plan - Fortnightly Dividend	8.6068
PGIM India Low Duration Fund - Direct Plan - Growth	27.8391
PGIM India Low Duration Fund - Direct Plan - Monthly Bonus	13.7182
PGIM India Low Duration Fund - Direct Plan - Monthly Dividend	10.3226
PGIM India Low Duration Fund - Direct Plan - Quarterly Dividend	8.7376
PGIM India Low Duration Fund - Direct Plan - Weekly Dividend	10.2235
PGIM India Low Duration Fund - FORTNIGHTLY DIV	8.5967
PGIM India Low Duration Fund - GR	25.951
PGIM India Low Duration Fund - Monthly Bonus Option	12.0399
PGIM India Low Duration Fund - QUARTERLY DIV	8.6643
PGIM India Low Duration Fund - Segregated Portfolio 1 - Direct Plan - Annual Dividend Option	0
PGIM India Low Duration Fund - Segregated Portfolio 1 - Direct Plan - Growth Option	0
